n_original,n_relleno_cola,n_efectivo,cola_target_constante,empates_intermedios
319,0,319,False,31
1970,0,1970,False,430
290,0,290,False,16
695,0,695,False,113
169,0,169,False,0
663,0,663,False,86
674,0,674,False,78
1095,0,1095,False,479
1337,0,1337,False,527
1195,0,1195,False,89
220,0,220,False,32
48,0,48,False,12
490,0,490,False,37
524,0,524,False,68
110,0,110,False,1
120,0,120,False,43
955,0,955,False,224
41,0,41,False,0
1663,0,1663,False,442
653,0,653,False,197
524,0,524,False,41
374,0,374,False,65
79,0,79,False,24
297,0,297,False,28
1166,0,1166,False,337
526,0,526,False,84
276,0,276,False,44
431,0,431,False,61
752,0,752,False,202
505,0,505,False,42
182,0,182,False,4
607,0,607,False,137
297,0,297,False,35
82,0,82,False,23
886,0,886,False,311
285,0,285,False,26
869,0,869,False,178
521,0,521,False,59
1322,0,1322,False,133
270,0,270,False,38
1186,0,1186,False,403
717,0,717,False,284
72,0,72,False,18
240,0,240,False,20
72,0,72,False,17
305,0,305,False,35
211,0,211,False,25
336,0,336,False,33
566,0,566,False,65
1546,0,1546,False,419
873,0,873,False,75
1007,0,1007,False,298
425,0,425,False,43
441,0,441,False,91
1160,0,1160,False,110
659,0,659,False,179
626,0,626,False,80
193,0,193,False,2
97,0,97,False,43
950,0,950,False,328
279,0,279,False,5
304,0,304,False,32
1158,0,1158,False,301
547,0,547,False,78
742,0,742,False,58
212,0,212,False,4
261,0,261,False,4
159,0,159,False,12
747,0,747,False,256
1130,0,1130,False,99
168,0,168,False,6
2099,0,2099,False,602
1035,0,1035,False,104
766,0,766,False,108
402,0,402,False,103
238,0,238,False,11
53,0,53,False,14
53,0,53,False,16
149,0,149,False,4
937,0,937,False,112
189,0,189,False,3
76,0,76,False,1
1409,0,1409,False,563
472,0,472,False,128
553,0,553,False,66
136,0,136,False,4
756,0,756,False,263
277,0,277,False,5
487,0,487,False,51
437,0,437,False,60
496,0,496,False,77
204,0,204,False,34
536,0,536,False,78
941,0,941,False,89
437,0,437,False,49
505,0,505,False,83
1231,0,1231,False,345
251,0,251,False,1
205,0,205,False,36
79,0,79,False,29
233,0,233,False,9
1313,0,1313,False,459
975,0,975,False,71
176,0,176,False,26
652,0,652,False,162
551,0,551,False,47
75,0,75,False,20
236,0,236,False,24
143,0,143,False,4
153,0,153,False,3
563,0,563,False,71
750,0,750,False,266
1170,0,1170,False,343
997,0,997,False,85
1021,0,1021,False,136
300,0,300,False,32
327,0,327,False,32
60,0,60,False,16
1152,0,1152,False,384
398,0,398,False,43
2264,0,2264,False,536
310,0,310,False,37
1016,0,1016,False,98
48,0,48,False,23
37,0,37,False,12
1233,0,1233,False,320
432,0,432,False,60
209,0,209,False,3
91,0,91,False,28
475,0,475,False,61
76,0,76,False,20
327,0,327,False,28
97,0,97,False,33
475,0,475,False,81
103,0,103,False,3
110,0,110,False,0
1178,0,1178,False,510
930,0,930,False,333
382,0,382,False,53
408,0,408,False,12
634,1,633,True,338
606,0,606,False,57
550,0,550,False,75
50,0,50,False,14
163,0,163,False,3
1415,0,1415,False,395
461,0,461,False,31
435,0,435,False,22
209,0,209,False,26
73,0,73,False,14
569,0,569,False,70
65,0,65,False,15
319,0,319,False,49
1012,0,1012,False,354
43,0,43,False,12
