n_puntos,ya_ordenado,n_inversiones,n_empates_temporales,frac_inversiones
1087,True,0,355,0.0
481,True,0,26,0.0
72,True,0,20,0.0
233,True,0,23,0.0
253,True,0,1,0.0
719,True,0,259,0.0
424,True,0,81,0.0
751,True,0,249,0.0
631,True,0,102,0.0
466,True,0,59,0.0
1003,True,0,114,0.0
70,True,0,21,0.0
41,True,0,14,0.0
576,True,0,46,0.0
565,True,0,63,0.0
363,True,0,64,0.0
292,True,0,26,0.0
271,True,0,29,0.0
44,True,0,12,0.0
444,True,0,44,0.0
515,True,0,54,0.0
400,True,0,103,0.0
391,True,0,50,0.0
637,True,0,132,0.0
935,True,0,268,0.0
1036,True,0,329,0.0
44,True,0,14,0.0
438,True,0,24,0.0
1425,True,0,606,0.0
371,True,0,47,0.0
254,True,0,11,0.0
216,True,0,13,0.0
76,True,0,22,0.0
377,True,0,58,0.0
526,True,0,83,0.0
177,True,0,0,0.0
469,True,0,55,0.0
284,True,0,59,0.0
790,True,0,138,0.0
477,True,0,52,0.0
649,True,0,83,0.0
292,True,0,30,0.0
294,True,0,24,0.0
735,True,0,215,0.0
40,True,0,10,0.0
69,True,0,17,0.0
798,True,0,236,0.0
392,True,0,61,0.0
533,True,0,95,0.0
499,True,0,54,0.0
177,True,0,18,0.0
270,True,0,10,0.0
1137,True,0,505,0.0
125,True,0,2,0.0
453,True,0,24,0.0
812,True,0,47,0.0
793,True,0,142,0.0
2168,True,0,1032,0.0
86,True,0,25,0.0
227,True,0,9,0.0
1378,True,0,621,0.0
416,True,0,13,0.0
281,True,0,8,0.0
1955,True,0,585,0.0
531,True,0,70,0.0
147,True,0,3,0.0
341,True,0,35,0.0
859,True,0,325,0.0
602,True,0,144,0.0
325,True,0,23,0.0
353,True,0,8,0.0
1145,True,0,192,0.0
1961,True,0,477,0.0
1051,True,0,60,0.0
47,True,0,17,0.0
1085,True,0,88,0.0
213,True,0,3,0.0
301,True,0,31,0.0
640,True,0,61,0.0
355,True,0,26,0.0
641,True,0,136,0.0
795,True,0,109,0.0
308,True,0,36,0.0
542,True,0,52,0.0
1491,True,0,365,0.0
761,True,0,258,0.0
303,True,0,34,0.0
107,True,0,48,0.0
988,True,0,91,0.0
494,True,0,66,0.0
642,True,0,169,0.0
708,True,0,105,0.0
235,True,0,6,0.0
1009,True,0,99,0.0
322,True,0,38,0.0
1042,True,0,319,0.0
566,True,0,65,0.0
1105,True,0,166,0.0
284,True,0,26,0.0
674,True,0,72,0.0
2295,True,0,571,0.0
341,True,0,27,0.0
472,True,0,24,0.0
461,True,0,23,0.0
370,True,0,52,0.0
1418,True,0,381,0.0
1243,True,0,108,0.0
1189,True,0,302,0.0
962,True,0,93,0.0
688,True,0,136,0.0
292,True,0,31,0.0
143,True,0,4,0.0
24,True,0,3,0.0
117,True,0,0,0.0
93,True,0,37,0.0
703,True,0,79,0.0
494,True,0,65,0.0
307,True,0,50,0.0
141,True,0,4,0.0
786,True,0,137,0.0
756,True,0,274,0.0
1075,True,0,625,0.0
599,True,0,66,0.0
446,True,0,59,0.0
651,True,0,82,0.0
51,True,0,21,0.0
539,True,0,58,0.0
1345,True,0,353,0.0
410,True,0,42,0.0
568,True,0,67,0.0
981,True,0,102,0.0
1226,True,0,297,0.0
50,True,0,12,0.0
55,True,0,14,0.0
862,True,0,67,0.0
323,True,0,72,0.0
170,True,0,8,0.0
495,True,0,63,0.0
354,True,0,39,0.0
173,True,0,10,0.0
1504,True,0,481,0.0
530,True,0,41,0.0
670,True,0,99,0.0
49,True,0,19,0.0
302,True,0,18,0.0
11,True,0,5,0.0
200,True,0,23,0.0
142,True,0,67,0.0
113,True,0,0,0.0
122,True,0,84,0.0
542,True,0,88,0.0
140,True,0,0,0.0
603,True,0,81,0.0
472,True,0,79,0.0
310,True,0,22,0.0
502,True,0,271,0.0
285,True,0,26,0.0
470,True,0,31,0.0
782,True,0,55,0.0
897,True,0,79,0.0
336,True,0,36,0.0
782,True,0,142,0.0
1052,True,0,97,0.0
326,True,0,169,0.0
410,True,0,82,0.0
173,True,0,0,0.0
496,True,0,88,0.0
395,True,0,103,0.0
45,True,0,24,0.0
661,True,0,82,0.0
291,True,0,40,0.0
314,True,0,212,0.0
1268,True,0,554,0.0
712,True,0,47,0.0
593,True,0,131,0.0
364,True,0,103,0.0
1305,True,0,382,0.0
1411,True,0,306,0.0
1078,True,0,91,0.0
1053,True,0,99,0.0
437,True,0,54,0.0
1023,True,0,259,0.0
122,True,0,1,0.0
435,True,0,52,0.0
964,True,0,237,0.0
252,True,0,18,0.0
75,True,0,19,0.0
80,True,0,25,0.0
284,True,0,26,0.0
310,True,0,35,0.0
408,True,0,22,0.0
47,True,0,10,0.0
664,True,0,101,0.0
422,True,0,42,0.0
309,True,0,37,0.0
53,True,0,18,0.0
